en,my
"At the same time, Saudi Arabia's society was a place where al Qaeda raised money directly from individuals and through charities.",တစ်ချိန်တည်းမှာပင် ဆော်ဒီအာရေးဗီးယား၏ လူ့အဖွဲ့အစည်းသည် အယ်လ်ကိုင်ဒါများက လူတစ်ဦးချင်းစီ နှင့် အလှူအတန်းများမှတစ်ဆင့် ငွေများကို တိုက်ရိုက်  ရှာဖွေစုဆောင်းသည့် နေရာတစ်ခု ဖြစ်လာခဲ့သည်။
We're just trying to figure out what's going on.,ဘာဖြစ်နေလဲဆိုတာကို အဖြေရှာဖို့ ကျွန်တော်တို့ ကြိုးစားနေပါတယ်။
"The Southeast Air Defense Sector was notified of the event at 9:55, 28 minutes later.",မိနစ်အကြာ၊ ၉ နာရီ ၅၅ မိနစ်တွင် အရှေ့တောင် လေကြောင်းကာကွယ်ရေးဌာနက အဖြစ်အပျက်ကို အသိပေးလက်ခံရရှိခဲ့သည်။
The FBI must maintain rigorous security and proficiency standards with respect to its permanent and contract employees.,FBI သည် ၎င်း၏ အမြဲတမ်းနှင့် ကန်ထရိုက်ဝန်ထမ်းများနှင့် စပ်လျဉ်း၍ တင်းကျပ်သော လုံခြုံရေးနှင့် ကျွမ်းကျင်မှုစံနှုန်းများကို ထိန်းသိမ်းထားရမည်ဖြစ်သည်။
FBI investigators have speculated that al Qaeda may have directed other extremist Muslims in the Phoenix area to enroll in aviation training.,ဖီးနစ်ဒေသရှိ အခြားသော အစွန်းရောက်မွတ်ဆလင်များကို လေကြောင်းသင်တန်းတွင် စာရင်းသွင်းရန် အယ်လ်ကိုင်ဒါမှ ညွှန်ကြားခဲ့သည်ဟု FBI မှ စုံစမ်းရေးမှူးများက မှန်းဆထားသည်။
Mzoudi claims he went home to Morocco to get married but could not because he was injured in a car accident there.,Mzoudi က သူသည် Morocco သို့ လက်ထပ်ရန်အိမ်ပြန်ခဲ့သော်လည်း ထိုနေရာတွင် ကားမတော်တဆမှုကြောင့် ဒဏ်ရာရရှိခဲ့ခြင်းကြောင့် လက်မထပ်နိုင်ခဲ့ကြောင်းပြောကြားခဲ့သည်။
"Third, the Hellfire warhead carried by the Predator needed work.",တတိယအချက်အနေနဲ့ ၊ သားရဲ သယ်ဆောင်လာတဲ့ Hellfire ဒုံးကျည်ဟာ အလုပ်လုပ်ဖို့ လိုအပ်တယ်။
"PDBs were not routinely briefed to congressional leaders, though this item could have been in some other intelligence briefing.",ဤအရာသည် အခြားသော ထောက်လှမ်းရေး ရှင်းလင်းချက် အချို့တွင် ပါဝင်နိုင်ခဲ့သော်လည်း ၊ ပီဒီဘီများကို ကွန်ဂရက် လွှတ်တော်ခေါင်းဆောင်များကို ပုံမှန် ရှင်းလင်းတင်ပြခြင်းမရှိခဲ့ကြပါ။
"We look forward to a national debate on the merits of what we have recommended, and we will participate vigorously in that debate.",ကျွန်ုပ်တို့ အကြံပြုထားသည့်အချက်များ၏ ကောင်းကျိုးများနှင့် ပတ်သတ်၍ အမျိုးသားအဆင့် စကားစစ်ထိုးဆွေးနွေးပွဲကို ကျွန်ုပ်တို့မျှော်လင့်ထားပြီး ၊ ထိုဆွေးနွေးပွဲ၌ အားတက်သရောပါဝင်ဆောင်ရွက်ပါမည်။
There is a dispute regarding Ashcroft's interest in Pickard's briefings about the terrorist threat situation.,အကြမ်းဖက်ခြိမ်းခြောက်မှု အခြေအနေနှင့် ပတ်သတ်၍ Pickard ၏ ရှင်းလင်းတင်ပြချက်များအပေါ်  အက်ချ်ခရော့ဖ်၏ စိတ်ဝင်စားမှုနှင့် ပတ်သတ်၍ အငြင်းပွားမှုတစ်ခု ရှိပါသည်။
"These workers were not trapped, yet unlike most occupants on the upper floors, they had chosen not to descend immediately after impact.",အဆိုပါ အလုပ်သမားများသည် အပေါ်ထပ်တွင် နေထိုင်သူအများစုနှင့်မတူဘဲ ၊ ပိတ်မိနေခြင်းမဟုတ်ဘဲ ၊ ထိခိုက်မှုဖြစ်ပြီးသည့်နောက် ချက်ချင်းမဆင်းရန် သူတို့ရွေးချယ်ခဲ့သည်။
"After Mihdhar left, other students moved into the house.",Mihdhar ထွက်သွားပြီးနောက် ၊ အခြားကျောင်းသားများသည် အိမ်ထဲသို့ ပြောင်းရွှေ့ခဲ့ကြသည်။
"On returning to the United States, Hage was met at the airport by FBI agents, interrogated, and called the next day before the federal grand jury then investigating Bin Ladin.","အမေရိကန်ပြည်ထောင်စုကို ပြန်ရောက်တဲ့အခါမှာတော့ ၊ Hage ကို FBI အေးဂျင့်တွေက လေဆိပ်မှာတွေ့ဆုံခဲ့, စုံးစမ်းမေးမြန်းခဲ့ပြီး ၊ နောက်တစ်နေ့မှာတော့ အဲဒီတုန်းက ဘင်လာဒင်ကို စုံစမ်းစစ်ဆေးနေတဲ့ ဖက်ဒရယ်ခုံရုံးကို လာဖို့ ဆင့်ခေါ်ခဲ့ပါတယ်။"
Shakur has been identified by Spanish authorities as Farid Hilali.,Shakur ကို စပိန်အာဏာပိုင်များက ဖာရစ်ဟယ်လာလီ အဖြစ် သတ်မှတ်ခဲ့သည်။
"For the two companies and their actions, see FDNY interview 22, Battalion 28 (Jan.",ကုမ္ပဏီနှစ်ခုနှင့် ၎င်းတို့၏ လုပ်ဆောင်ချက်များအတွက် ၊ FDNY အင်တာဗျူး ၂၂ ၊ တပ်ရင်း ၂၈ ကို ကြည့်ပါ (ဂျေအေအန်န်။
"According to Binalshibh, had Bin Ladin and KSM learned prior to 9/11 that Moussaoui had been detained, they might have canceled the operation.",ဘစ်နဲရှီဘ်၏ အဆိုအရ ၊ ဘင်လာဒင်နှင့် ကေအက်စ်အမ်မ် တို့သည် Moussaoui အထိန်းသိမ်းခံရကြောင်း ၉/၁၁ မတိုင်မီ သိရှိခဲ့ရပါက ၊ ၎င်းတို့သည် စစ်ဆင်ရေးကို ဖျက်သိမ်းကောင်း ဖျက်သိမ်းခဲ့လိမ့်မည်။
", 2004 (nearly two-thirds of the known leaders of al Qaeda had been killed or captured).",ခုနှစ် ၊ ၂၃ ရက်နေ့ ( သိထားသမျှ အယ်လ်ကိုင်ဒါခေါင်းဆောင်များ၏ သုံးပုံနှစ်ပုံနီးပါး အသတ်ခံရပြီး သို့မဟုတ် ဖမ်းဆီးရမိပြီး)။
"Worldwide asset freezes have not been adequately enforced and have been easily circumvented, often within weeks, by simple methods.","ကမ္ဘာတစ်ဝှမ်းရှိ ပိုင်ဆိုင်မှုပစ္စည်းများကို ထိန်းသိမ်းခြင်းအား လုံလောက်စွာ အရေးယူဆောင်ရွက်ပြီးစီးခြင်း မရှိသေးဘဲ၊ မကြာခဏဆိုသလို, ရက်သတ္တပတ်များအတွင်း၌ပင် ရိုးရှင်းသော နည်းလမ်းများဖြင့် အလွယ်တကူရှောင်တိမ်းနိုင်ခဲ့သည်။"
"The profile was derived from information on the Passenger Name Record and did not include factors such as race, creed, color, or national origin.",ကိုယ်ရေးအကျဉ်းကို ခရီးသည်အမည်မှတ်တမ်းရှိ အချက်အလက်များကို အခြေခံပြုစုထားပြီး၊ လူမျိုး၊ အယူဝါဒ ၊ အသားအရောင် သို့မဟုတ် မူရင်းတိုင်းပြည် ကဲ့သို့သော အကြောင်းအရာများ မပါဝင်ခဲ့ပါ။
"After 9/11, Motassadeq admitted to German authorities that Shehhi had asked him to handle matters in a way that would conceal Shehhi's absence.",/၁၁ နောက်ပိုင်းတွင် ၊ ရှန်းဟီ မရှိခြင်းကို ဖုံးကွယ်မည့် နည်းလမ်း တစ်ခု ဖြင့် ကိစ္စရပ်များကို ကိုင်တွယ်ဖြေရှင်းရန် Shehhi က သူ့အား တောင်းဆိုခဲ့ကြောင်း Motassadeq က ဂျာမန်အာဏာပိုင်များထံ ဝန်ခံခဲ့သည်။
"For the fire alarm, see PANYNJ interview 10 (June 16, 2004); PANYNJ interview 7 (June 2, 2004).",မီးအချက်ပြမှုအတွက် ၊ ၂၀၀၄ ခုနှစ် ဇွန်လ ၁၆ ရက်နေ့ ပန်နီဂျေ အင်တာဗျူး   ၁၀ ၊ ၂၀၀၄ ခုနှစ် ဇွန်လ ၂ ရက်နေ့ ပန်နီဂျေ အင်တာဗျူး ၇ တို့ကို ကြည့်ပါ။
"After the airspace reopened, nine chartered flights with 160 people, mostly Saudi nationals, departed from the United States between September 14 and 24.",လေပိုင်နက်ပြန်လည်ဖွင့်လှစ်ပြီးနောက်တွင် ၊ စင်းလုံးငှားလေယာဉ်ကိုးစင်းသည် လူ ၁၆၀ ဖြင့်၊ အများစုမှာ ဆော်ဒီနိုင်ငံသားများ ဖြစ်ပြီး ၊ စက်တင်ဘာလ ၁၄ ရက်မှ ၂၄ ရက်အတွင်း အမေရိကန်ပြည်ထောင်စုမှ ထွက်ခွာခဲ့သည်။
"Ajaj had entered the United States on a B-2 tourist visa at New York City on September 9, 1991.",Ajaj သည် ၁၉၉၁ ခုနှစ် စက်တင်ဘာလ ၉ ရက်နေ့တွင် နယူးယောက်မြို့ကို ဘီတူး ခရီးသွားဗီဇာဖြင့် အမေရိကန်သို့ ဝင်ရောက်ခဲ့သည်။
Civilians who called the Port Authority police desk located at 5 WTC were advised to leave if they could.,WTC ၅ တွင်ရှိသည့် ဆိပ်ကမ်းအာဏာပိုင် ရဲဌာနကို ဖုန်းခေါ်ခဲ့သော အရပ်သားများအား တက်နိုင်လျှင် ထွက်ခွာရန် အကြံပြုခဲ့သည်။
We ask every nation to join us.,ကျွန်ုပ်တို့နဲ့ ပူးပေါင်းဖို့ နိုင်ငံတိုင်းကိုတောင်းဆိုပါတယ်။
"They were positioned around the mezzanine lobby level of the North Tower, directing civilians leaving stairwells A and C to evacuate down an escalator to the concourse.",သူတို့သည် အရပ်သားများကို နားနေဆောင်သို့ စက်လှေကားမှဆင်းရန် လှေကား အေ နှင့် စီမှ ထွက်ခွာရန် ညွှန်ကြားထားပြီး  မြောက်ဘက်မျှော်စင်၏ ထပ်ခိုးလော်ဘီတစ်ဝိုက်တွင် နေရာယူထားခဲ့သည်။
"FBI report, Flight 93 'No Show' Passengers from 9/11/01, Sept. 18, 2001.",FBI အစီရင်ခံစာ ၊ ၂၀၀၁ ခုနှစ် စက်တင်ဘာလ ၁၈ ရက် ၉/၁၁/၀၁ မှ ဖလိုက် ၉၃ 'လေယဉ်ပေါ်မပါလာသူများ' ခရီးသည်များ။
"Rice and others recalled the President saying, I'm tired of swatting at flies.",ယင်ကောင်တွေကို ရိုက်ရတာ ပင်ပန်းလာပြီလို့ သမ္မတပြောနေတာကို Rice နဲ့ အခြားသူတွေက ပြန်ပြောပြတယ်။
"For the delayed dispatch, see FDNY records, computer-aided dispatch report, alarm box 8087, Sept. 11, 2001, 09:03:00-09:10:02.",နှောင့်နှေးသော ပို့ဆောင်မှုအတွက် ၊ FDNY မှတ်တမ်း ၊ ကွန်ပျူတာအကူအညီပေးပို့သည့် အစီရင်ခံစာ၊ အချက်ပေးသေတ္တာ ၈၀၈၇ ၊ ၂၀၀၁ ခုနှစ် စက်တင်ဘာလ ၁၁ ရက် ၊ ၉ နာရီ ၃ မိနစ် မှ ၉ နာရီ ၁၀ မိနစ် ၂ စက္ကန့် ကြားကို ကြည့်ပါ။
Mihdhar complained about life in the United States.,Mihdhar သည် အမေရိကန်ပြည်ထောင်စုတွင် နေထိုင်ရသည့်ဘဝအကြောင်းကို ငြီးတွားခဲ့သည်။
"Intelligence report, 1996 Atef study on airplane hijacking operations, Sept. 26, 2001.",ထောက်လှမ်းရေးအစီရင်ခံစာ၊ ၂၀၀၁ ခုနှစ် ၊ စက်တင်ဘာလ ၂၆ ရက်နေ့ ၊ ၁၉၉၆ အာတေ့လေယာဉ် ပြန်ပေးဆွဲခြင်း စီမံကိန်းများ။
"It also meant that there was a link between Khallad and Mihdhar, making Mihdhar seem even more suspicious.",Khallad နှင့် Mihdhar အကြား ဆက်စပ်မှုရှိကြောင်းကိုလည်း ဆိုလိုပြီး ၊ Mihdhar သည် ပို၍ပင် သံသယဖြစ်ဖွယ်ရှိပုံပေါ်စေခဲ့သည်။
"For Ballinger's warnings, see Ed Ballinger interview (Apr. 14, 2004).",ဘယ်လ်လင်ဂျာ၏ သတိပေးချက်များအတွက် ၊( ၂၀၀၄ ခုနှစ် ဧပြီလ ၁၄ရက်နေ့ ) Ed ဘယ်လ်လင်ဂျာ၏ အင်တာဗျူးကို ကြည့်ပါ။
"In deputies meetings at the end of June, Tenet was tasked to assess the prospects forTaliban cooperation with the United States on al Qaeda.",ဇွန်လကုန် လက်ထောက်များ၏အစည်းအဝေးများတွင်  ၊ အယ်လ်ကိုင်ဒါ အပေါ်  အမေရိကန် နှင့် တာလီဘန်တို့ ပူးပေါင်းဆောင်ရွက်မှုအတွက် အလားအလာများကို အကဲဖြတ်ရန် တဲနက်သည် တာဝန်ပေးခံခဲ့ရသည်။
"In some ways joint work has gotten better, and in some ways worse.",အချို့သောနည်းလမ်းများတွင် ပူးပေါင်းလုပ်ဆောင်မှုသည် ပိုကောင်းလာပြီး ၊ အချို့သောနည်းလမ်းများတွင် ပိုဆိုးလာသည်။
"Our borders and immigration system, including law enforcement, ought to send a message of welcome, tolerance, and justice to members of immigrant communities in the United States and in their countries of origin.",တရားဥပဒေစိုးမိုးရေးအပါအဝင် ကျွန်ုပ်တို့၏ နယ်နိမိတ်နှင့် လူဝင်မှုကြီးကြပ်ရေးစနစ်သည် အမေရိကန်ပြည်ထောင်စု နှင့် ၎င်းတို့၏ မူရင်းနိုင်ငံများ ရှိ ရွှေ့ပြောင်းအချေခြအသိုင်းအဝိုင်းမှသူများကို ကြိုဆိုမှု ၊ သည်းခံမှုနှင့် တရားမျှတမှု ဆိုင်ရာ သတင်းစကား ပေးပို့သင့်ပါသည်။
"The third party informed the police desk that the employees had previously received contrary advice from the FDNY, which could only have come via 911.",ဝန်ထမ်းများသည် ၉၁၁ မှတစ်ဆင့်သာ ရောက်ရှိလာနိုင်သော FDNY ထံမှ မတူသည့် အကြံဉာဏ်များကို ယခင်က လက်ခံရရှိခဲ့ကြောင်း ၊ တတိယပါတီက ရဲအရာရှိထံ အကြောင်းကြားခဲ့သည်။
The call to the UAE was originally reported by the CIA on May 16.,ယူအေအီးသို့ ဖုန်းခေါ်ဆိုမှုကို မေလ ၁၆ ရက်နေ့တွင် စီအိုင်အေမှ ကနဦးဆုံးအစီရင်ခံခဲ့သည်။
"The terminal was evacuated, and police found miscellaneous gun parts, pistol ammunition, and military paraphernalia in the man's checked bags.",ဂိတ်ကို ဘေးလွတ်ရာသို့ ရွှေ့ပြောင်းခဲ့ပြီး၊ သေနတ်အစိတ်အပိုင်းမျိုးစုံ ၊ ပစ္စတို ခဲယမ်းမီးကျောက်များနှင့် စစ်လက်နက်ပစ္စည်းများကို ထိုလူ၏ လေယဉ်ပေါ်တင်သွားမည့်အိတ်များထဲတွင် ရဲများက တွေ့ရှိခဲ့သည်။
This statement was issued the day after the financial markets reopened.,ဒီကြေငြာချက်ကို ငွေကြေးဈေးကွက်တွေ ပြန်ဖွင့်ပြီး နောက်တစ်နေ့မှာ ထုတ်ပြန်ခဲ့တယ်။
"Between 6:45 and 7:40, Atta and Omari, along with Satam al Suqami, Wail al Shehri, and Waleed al Shehri, checked in and boarded American Airlines Flight 11, bound for Los Angeles.",နာရီ ၄၅ မိနစ် နှင့် ၇ နာရီ ၄၀ မိနစ်ကြားတွင် Atta နှင့် အိုမာရီ ၊ စာတန်အယ်လ် ဆူကာမီ ၊ ဝေရယ်အယ်လ် ရှရီ ၊ နှင့် ဝါလိအယ်လ် ရှရီ တို့နှင့်အတူ ၊ လော့စ်အိန်ဂျလိစ်သို့ သွားမည့် အမေရိကန်လေကြောင်းခရီးစဉ် ၁၁ ပေါ်ကို စာရင်းသွင်းပြီး လေယဉ်ပေါ်တက်ခဲ့သည်။
"Bandar al Hazmi continued his training at Arizona Aviation with intermittent trips home to Saudi Arabia, before departing the United States for the last time in January 2000.",ဘန်ဒါအယ်လ် Hazmi သည် ၂၀၀၀ ခုနှစ် ဇန်နဝါရီလတွင် နောက်ဆုံးအကြိမ်အဖြစ် အမေရိကန်သို့ မထွက်ခွာမီ အရီဇိုးနားလေကြောင်းတွင် ဆော်ဒီအာရေးဗီးယားနိုင်ငံ အိမ်သို့ မကြာခဏ ပြန်ရင်းဖြင့် လေ့ကျင့်မှုကို ဆက်လက်ပြုလပ်ခဲ့သည်။
"For the necessity of moving from need-to-know to need-to-share, see James Steinberg testimony, Oct. 14, 2003.",သိရန်လို မှ မျှဝေရန်လို သို့ ပြောင်းရွှေ့ရန် လိုအပ်ချက်အတွက် ၊ ၂၀၀၃ ခုနှစ် အောက်တိုဘာလ ၁၄ ရက်နေ့ ၊ ဂျိမ်းစ် စတိုင်ဘက်ခ် သက်သေထွက်ဆိုချက်ကို ကြည့်ပါ။
"The people of the United States hoped to enjoy a peace dividend, as U.S. spending on national security was cut following the end of the Soviet military threat.",ဆိုဗီယက်စစ်တပ်ရဲ့ ခြိမ်းခြောက်မှုအဆုံးသတ်ပြီးသည့်နောက် အမျိုးသားလုံခြုံရေးအတွက် အမေရိကန် အသုံးစရိတ် ဖြတ်တောက်ခံရတာကြောင့် အမေရိကန်ပြည်သူတွေဟာ ငြိမ်းချမ်းရေးအကျိုးအမြတ်ကို ရရှိဖို့ မျှော်လင့်ခဲ့ကြပါတယ်။
"While the test results for physical search exceeded the national average, both the metal detector and X-ray results were below average.",ရုပ်ပိုင်းဆိုင်ရာရှာဖွေမှုအတွက် စမ်းသပ်မှုရလဒ်များသည် နိုင်ငံလုံးဆိုင်ရာပျမ်းမျှအား ကျော်လွန်ခဲ့သော်လည်း သတ္တုအာရုံခံကိရိယာနှင့် ဓာတ်မှန်ရလဒ်နှစ်ခုစလုံးသည် ပျမ်းမျှအောက်၌ ရှိနေခဲ့သည်။
On-duty ladder companies consisted of a captain or lieutenant and five firefighters,တာဝန်ကျ လှေကား တပ်ခွဲများတွင် ကပ္ပတိန် သို့မဟုတ် ဒုဗိုလ်တစ်ဦးနှင့် မီးသတ်သမားငါးဦးတို့ ပါဝင်ခဲ့သည်။
"The series also included Operation Infinite Resolve, a variety of proposed follow-on strikes on al Qaeda targets in Afghanistan.",စီးရီးတွင် အာဖဂန်နစ္စတန်ရှိ အယ်လ်ကိုင်ဒါပစ်မှတ်များအပေါ် အဆိုပြုထားသည့် နောက်ဆက်တွဲတိုက်ခိုက်မှု အများအပြားပြုလုပ်မှု ပါဝင်သော Operation Infinite Resolve ပါဝင်သည်။
"In 1998, Clarke chaired an exercise designed to highlight the inadequacy of the solution.",ခုနှစ်တွင် ၊ Clarke သည် ဖြေရှင်းချက်၏ မလုံလောက်မှုကို မီးမောင်းထိုးပြရန် ဒီဇိုင်းထုတ်ထားသော လေ့ကျင့်ခန်းတစ်ခုကို ဥက္ကဌအဖြစ်ဆောင်ရွက်ခဲ့သည်။
billion annual investment in the TSA goes to aviation-to fight the last war.,TSA တွင် နှစ်စဉ် ရင်းနှီးမြုပ်နှံမှု ၃ ဘီလီယံသည် နောက်ဆုံးတိုက်ပွဲကို တိုက်ရန် လေကြောင်းဏ္ဍအတွက်ဖြစ်သည်။
The General Accounting Office looked into the gun story and was unable to corroborate it.,အထွေထွေစာရင်းကိုင်ရုံးက သေနတ်နဲ့ပတ်သတ်တဲ့ ဖြစ်စဉ်ကို ကြည့်ခဲ့ပြီး ၊ အဲဒါကို အတည်ပြုနိုင်ခြင်း မရှိခဲ့ပါဘူး။
Agencies need to be able to measure success.,အေဂျင်စီများသည် အောင်မြင်မှုကို တိုင်းတာနိုင်ရန် လိုအပ်ပါသည်။
"Upon hearing that the camp was to be closed, he and others traveled to al Faruq camp near Kandahar, where they received more training.",စခန်းက ပိတ်တော့မှာဆိုတာကို ကြားတာနဲ့ ၊ သူနဲ့ တခြားသူတွေဟာ ကန်ဒါဟာ အနီးက အယ်လ် ဖာရွတ် စခန်းကို သွားခဲ့တယ် ၊ အဲ့ဒီမှာ ထပ်ပြီး လေ့ကျင့်သင်ကြားမှုတွေ ရရှိခဲ့တယ်။
Numerous officers responded in order to help injured civilians and to urge those who could walk to vacate the area immediately.,ဒဏ်ရာရတဲ့ အရပ်သားတွေကို ကူညီပေးဖို့ နှင့် လမ်းလျှောက်နိုင်သူတွေကို အဆိုပါ နေရာမှ ချက်ချင်း ထွက်ခွါသွားပေးဖို့ တိုက်တွန်းရန် အရာရှိ အများအပြားက တုံ့ပြန်လုပ်ဆောင်ခဲ့ပါတယ်။
"In the interests of promoting candor and protecting privacy, we agreed not to identify most individuals we interviewed.",ပွင့်လင်းမြင်သာမှုကို မြှင့်တင်ရန်နှင့် ကိုယ်ရေးကိုယ်တာလုံခြုံရေးကို ကာကွယ်ရန် ရှေ့ရှူ၍ ၊ ကျွန်ုပ်တို့ တွေ့ဆုံမေးမြန်းခဲ့တဲ့ လူအများစုကို ခွဲခြားသတ်မှတ်ခြင်းမပြုရန် ကျွန်ုပ်တို့သဘောတူခဲ့ပါတယ်။
Imagination is not a gift usually associated with bureaucracies.,စိတ်ကူးဉာဏ်သည် ဗျူရိုကရေစီများနှင့် ဆက်စပ်လေ့ရှိသော လက်ဆောင်တစ်ခုမဟုတ်ပါ။
Al Qaeda and terrorism was just one more priority added to already-crowded agendas with countries like Pakistan and Saudi Arabia.,အယ်လ်ကိုင်ဒါ နှင့် အကြမ်းဖက်ဝါဒသည် ပါကစ္စတန် နှင့် ဆော်ဒီအာရေးဗီးယားကဲ့သို့သောနိုင်ငံများနှင့် ပြည့်နှက်များပြားနေပြီးဖြစ်သော အရေးကိစ္စများစာရင်း သို့ ထည့်သွင်းလိုက်သည့် နောက်ထပ် ဦးစားပေး ကိစ္စ တစ်ခုမျှသာ ဖြစ်တယ်။
"The FBI legal attach's office in Paris first contacted the French government on August 16 or 17, shortly after speaking to the Minneapolis case agent on the telephone.",ပဲရစ်ရှိ အက်ဖ်ဘီအိုင် ၏ တရားရေးသံတမန်ရုံးက မင်နီယာပိုလစ် အမှုတွဲ ကိုယ်စားလှယ်အား ဖုန်းနဲ့ပြောပြီး မကြာခင်မှာဘဲ ၊ ပြင်သစ်အစိုးရကို သြဂုတ်လ ၁၆ သို့မဟုတ် ၁၇ ရက်မှာ ပထမဆုံးဆက်သွယ်ခဲ့တယ်။
"Attorney's Office or the judge refused, the FISA Court might reject an application for a FISA warrant on the grounds that the agents were attempting to make an end run around the criminal process.",ရှေ့နေရုံး သို့မဟုတ် တရားသူကြီးက ငြင်းဆိုခဲ့ပြီး၊ အေးဂျင့်များက ရာဇဝတ်မှုလုပ်ငန်းစဉ်ကို တစ်ဘက်လှည့်နည်းလမ်းများဖြင့် ဆောင်ရွက်ရန် ကြိုးပမ်းနေခဲ့သည်ဟူသော အချက်ကိုအခြေခံပြီး FISA ဝရမ်း လျှောက်ထားချက်ကို အက်ဖ်အိုင်အက်စ်အေ တရားရုံးက ငြင်းပယ်ကောင်းငြင်းပယ်နိုင်တယ်။
Local newspapers and the few influential satellite broadcasters-like al Jazeera-often reinforce the jihadist theme that portrays the United States as anti-Muslim.,ပြည်တွင်း သတင်းစာများ နှင့် အယ်လ်ဂျာဇီးရား ကဲ့သို့ သဩဇာကြီးမားသည့် ဂြိုလ်တု သတင်းထုတ်လွှင့်သူ အနည်းငယ်က မကြာခဏဆိုသလို အမေရိကန်ပြည်ထောင်စုအား မွတ်ဆလင်ဆန့်ကျင်ရေးအဖြစ် ပုံဖော်သည့် ဂျီဟတ်ဝါဒီအာဘော် ကို ပိုမိုအားကောင်းအောင် လုပ်လေ့ရှိကြသည်။
Our border screening system should check people efficiently and welcome friends.,ကျွန်မတို့ရဲ့ နယ်စပ် စိစစ်ရေးစနစ်က လူတွေကို ထိထိရောက်ရောက် စစ်ဆေးသင့်ပြီး မိတ်ဆွေတွေကို ကြိုဆိုသင့်တယ်။
"As a result, neither the U.S. nor the Saudi people appreciated all the dimensions of the bilateral relationship, including the Saudi role in U.S. strategies to promote the Middle East peace process.",ရလဒ်အနေနဲ့ကတော့ ၊ အရှေ့အလယ်ပိုင်း ငြိမ်းချမ်းရေး လုပ်ငန်းစဉ်ကို မြှင့်တင်ရန် အမေရိကန်၏ ဗျူဟာများတွင် ဆော်ဒီ၏ အခန်းကဏ္ဍ အပါအဝင်၊ နှစ်နိုင်ငံ ဆက်ဆံရေး၏ အနေအထားရှု့ထောင့် အားလုံးကို အမေရိကန်နှင့် ဆော်ဒီပြည်သူများက တန်ဖိုးထားခြင်းမရှိခဲ့ကြပါ။
"Jane,Dave, and an FBI analyst who was on detail to the CIA's Bin Ladin unit went to New York on June 11 to meet with the agents about the Cole case.",ဂျိန်း၊ ဒေ့ဗ် နှင့် စီအိုင်အေ ရဲ့ ဘင်လာဒင် ၏ ဌာနစိတ်တွင်ပါဝင်သူ FBI ခွဲခြမ်းစိတ်ဖြာသူတစ်ယောက် တို့သည် ကိုးလ် ကိစ္စနှင့် ပတ်သက်၍ အေးဂျင့်များနှင့်တွေ့ဆုံရန် နယူးယောက်သို့ ဇွန်လ ၁၁ ရက်နေ့တွင်သွားရောက်ခဲ့သည်။
"In early May 1996, the CIA received intelligence that Bin Ladin might be leaving Sudan.",၁၉၉၆ခုနှစ် မေလ အစောပိုင်းတွင် ၊ ဘင်လာဒင်က ဆူဒန် မှ ထွက်ခွာဖွယ်ရှိကြောင်း စီအိုင်အေက ထောက်လှမ်းရေးသတင်း ရရှိခဲ့သည်။
"Deputy Director of Central Intelligence John McLaughlin testified that he was told about Moussaoui several days before Tenet was briefed, although he did not recall the specific date of the briefing.",ဗဟိုထောက်လှမ်းရေးဌာနမှ လက်ထောက်ညွှန်ကြားရေးမှူး ဂျွန် မက်ကလောဂလမ် က ရှင်းလင်းတင်ပြပွဲ ရက်အတိအကျကို မမှတ်မိသော်လည်း Tenet အား ရှင်းလင်းမတင်ပြမီ ရက်အတော်များများမတိုင်မီက သူ့ကို Moussaoui အကြောင်း ပြောပြခဲ့တယ်လို့ ထွက်ဆိုခဲ့တယ်။
"For a record of the exchange between John and Dave, see CIA emails, Dave to John, May 17, 18, 24, 2001; CIA email, Richard to Alan, identification of Khallad, July 13, 2001.",ဂျွန် နှင့် ဒေ့ဗ် တို့ကြား အပြန်အလှန်ဖလှယ်မှု မှတ်တမ်း တစ်ခု အတွက် ၊ စီအိုင်အေ အီးမေးလ်များ၊ ဒေ့ဗ် မှ ဂျွန်၊ မေလ ၁၇ရက်၊ ၁၈ရက်၊ ၂၄ရက်၊ ၂၀၀၁ခုနှစ်၊ စီအိုင်အေ အီးမေးလ်၊ ရစ်ချတ် မှ အလန်၊ ခါလတ် ကို ဖော်ထုတ်ခြင်း၊ ဇူလိုင် ၁၃၊ ၂၀၀၁ကိုကြည့်ပါ။
"The ultimate recipient in Pakistan would then go to the Pakistani hawaladar and receive his money, in rupees, from whatever money the Pakistani hawaladar has on hand.",ပါကစ္စတန်ရှိ နောက်ဆုံး လက်ခံသူသည် ပါကစ္စတန် ဟာဝါလာဒါ ထံသို့သွား၍ သူ၏ ပိုက်ဆံကို လက်ခံရယူမည်၊ ပါကစ္စတန် ဟာဝါလာဒါ  လက်ထဲတွင်ရှိသည့် မည်သည့် ပိုက်ဆံမှန်သမျှကို ရူပီးဖြင့် လက်ခံမည်ဖြစ်သည်။
